ROBO_ID;OCCURRENCE;CODE;CONTENT
1;1.07.2020;E5055;The selector switch on TP is set to automatic operation.
1;1.07.2020;E5055;TP????????????????
1;2.07.2020;E1043;Teach Plug is abnormal.
1;2.07.2020;E1043;?????????????
1;5.07.2020;E5055;The selector switch on TP is set to automatic operation.
1;5.07.2020;E5055;TP????????????????
1;3.08.2020;E5055;The selector switch on TP is set to automatic operation.
1;3.08.2020;E5055;TP????????????????
1;30.08.2020;E5050;This welder is without Traceability.
1;30.08.2020;E5050;??????????????????????
1;30.08.2020;E5050;This welder is without Traceability.
1;30.08.2020;E5050;??????????????????????
1;13.09.2020;E5055;The selector switch on TP is set to automatic operation.
1;13.09.2020;E5055;TP????????????????
1;13.09.2020;E5055;The selector switch on TP is set to automatic operation.
1;13.09.2020;E5055;TP????????????????
1;11.10.2020;E5055;The selector switch on TP is set to automatic operation.
1;11.10.2020;E5055;TP????????????????
1;28.10.2020;E1043;Teach Plug is abnormal.
1;28.10.2020;E1043;?????????????
1;1.11.2020;E1043;Teach Plug is abnormal.
1;1.11.2020;E1043;?????????????
1;3.11.2020;E5054;The selector switch on TP is set to manual operation.
1;3.11.2020;E5054;TP????????????????
1;27.12.2020;E1043;Teach Plug is abnormal.
1;27.12.2020;E1043;?????????????
1;1.01.2021;E5055;The selector switch on TP is set to automatic operation.
1;1.01.2021;E5055;TP????????????????
1;11.01.2021;E5050;This welder is without Traceability.
1;11.01.2021;E5050;??????????????????????
1;31.01.2021;E1043;Teach Plug is abnormal.
1;31.01.2021;E1043;?????????????
1;28.02.2021;E1043;Teach Plug is abnormal.
1;28.02.2021;E1043;?????????????
1;7.03.2021;E5055;The selector switch on TP is set to automatic operation.
1;7.03.2021;E5055;TP????????????????
1;11.04.2021;E1043;Teach Plug is abnormal.
1;11.04.2021;E1043;?????????????
1;20.04.2021;E1287;Power module error Jt 5 (UPPER).
1;20.04.2021;E1288;Power module error Jt 5 (LOWER).
1;20.04.2021;E1287;? 5???????????????????(??)?
1;20.04.2021;E1288;? 5???????????????????(??)?
1;25.04.2021;E1043;Teach Plug is abnormal.
1;25.04.2021;E1043;?????????????
1;25.04.2021;E1043;Teach Plug is abnormal.
1;25.04.2021;E1043;?????????????
1;1.05.2021;E5055;The selector switch on TP is set to automatic operation.
1;1.05.2021;E5055;TP????????????????
1;27.05.2021;E1043;Teach Plug is abnormal.
1;27.05.2021;E1043;?????????????
1;23.07.2021;E5050;This welder is without Traceability.
1;23.07.2021;E5050;??????????????????????
1;3.10.2021;E1043;Teach Plug is abnormal.
1;3.10.2021;E1043;?????????????
1;4.10.2021;E9406;[Cubic-S(1)]Tool(Tool No1) is out of always allowed space.(code 32C0FE01 00000001)
1;4.10.2021;E9406;[Cubic-S(1)]???(?????1)??????????????(??? 32C0FE01 00000001)
1;4.10.2021;E1043;Teach Plug is abnormal.
1;4.10.2021;E1043;?????????????
1;4.12.2021;E1043;Teach Plug is abnormal.
1;4.12.2021;E1043;?????????????
1;20.12.2021;E5055;The selector switch on TP is set to automatic operation.
1;20.12.2021;E5055;TP????????????????
1;20.12.2021;E1043;Teach Plug is abnormal.
1;20.12.2021;E1043;?????????????
1;2.01.2022;E1043;Teach Plug is abnormal.
1;2.01.2022;E1043;?????????????
1;25.01.2022;E5055;The selector switch on TP is set to automatic operation.
1;25.01.2022;E5055;TP????????????????
1;25.01.2022;E5055;The selector switch on TP is set to automatic operation.
1;25.01.2022;E5055;TP????????????????
1;25.01.2022;E5055;The selector switch on TP is set to automatic operation.
1;25.01.2022;E5055;TP????????????????
1;31.01.2022;E1043;Teach Plug is abnormal.
1;31.01.2022;E1043;?????????????
1;1.02.2022;E5055;The selector switch on TP is set to automatic operation.
1;1.02.2022;E5055;TP????????????????
1;1.02.2022;E1043;Teach Plug is abnormal.
1;1.02.2022;E1043;?????????????
