,ROBO_ID,OCCURRENCE,CODE,CONTENT,CLASS
716,10,21.06.2021,E1032,Mismatch ABS and INC encoder data( jt  7).,0.0
904,17,13.07.2021,E3792,The encoder value changed in the power off. [JT6Axis],0.0
905,17,13.07.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
906,17,13.07.2021,E3792,The encoder value changed in the power off. [JT4Axis],0.0
907,17,13.07.2021,E3792,The encoder value changed in the power off. [JT3Axis],0.0
908,17,13.07.2021,E3792,The encoder value changed in the power off. [JT2Axis],0.0
909,17,13.07.2021,E3792,The encoder value changed in the power off. [JT1Axis],0.0
2065,37,11.11.2020,E3792,The encoder value changed in the power off. [J22Axis],0.0
2066,37,11.11.2020,E3792,The encoder value changed in the power off. [JT5Axis],0.0
2067,37,11.11.2020,E3792,The encoder value changed in the power off. [JT3Axis],0.0
2068,37,11.11.2020,E3792,The encoder value changed in the power off. [J21Axis],0.0
2069,37,11.11.2020,E3792,??????????????????? [J22?],0.0
2070,37,11.11.2020,E3792,??????????????????? [JT5?],0.0
2071,37,11.11.2020,E3792,??????????????????? [JT3?],0.0
2072,37,11.11.2020,E3792,??????????????????? [J21?],0.0
2081,37,8.08.2021,E3792,The encoder value changed in the power off. [J22Axis],0.0
2083,37,8.08.2021,E3792,??????????????????? [J22?],0.0
2167,39,12.08.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
2218,41,1.07.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
2219,41,1.07.2021,E3792,The encoder value changed in the power off. [JT6Axis],0.0
2220,41,1.07.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
2221,41,1.07.2021,E3792,The encoder value changed in the power off. [JT4Axis],0.0
2222,41,1.07.2021,E3792,The encoder value changed in the power off. [JT3Axis],0.0
2223,41,1.07.2021,E3792,The encoder value changed in the power off. [JT2Axis],0.0
2224,41,1.07.2021,E3792,??????????????????? [JT7?],0.0
2225,41,1.07.2021,E3792,??????????????????? [JT6?],0.0
2226,41,1.07.2021,E3792,??????????????????? [JT5?],0.0
2227,41,1.07.2021,E3792,??????????????????? [JT4?],0.0
2228,41,1.07.2021,E3792,??????????????????? [JT3?],0.0
2229,41,1.07.2021,E3792,??????????????????? [JT2?],0.0
2254,43,22.01.2022,E3792,The encoder value changed in the power off. [JT7Axis],0.0
2358,45,19.11.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
3737,94,28.10.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
3751,94,1.11.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
3773,94,7.11.2021,E3792,The encoder value changed in the power off. [JT5Axis],0.0
4354,112,4.06.2021,E3792,The encoder value changed in the power off. [JT7Axis],0.0
4355,112,4.06.2021,E3792,The encoder value changed in the power off. [JT6Axis],0.0
4356,112,4.06.2021,E3792,The encoder value changed in the power off. [JT3Axis],0.0
4357,112,4.06.2021,E3792,The encoder value changed in the power off. [JT1Axis],0.0
6300,147,17.11.2021,E3792,The encoder value changed in the power off. [JT2Axis],0.0
9972,211,11.11.2020,E3792,The encoder value changed in the power off. [JT7Axis],0.0
10021,214,20.02.2022,E3792,The encoder value changed in the power off. [JT3Axis],0.0
